Abbreviation	Description	Reaction	GPR	Genes	Proteins	Subsystem	Reversible	Lower bound	Upper bound	Objective	Confidence Score	EC Number	Notes
ACYLCOA_1	Hexanoyl-CoA to AcylCoA	C05270 --> C00040					False	0.0	1000.0	0			
ACYLCOA_2	Octanoyl-CoA to AcylCoA	C01944 --> C00040					False	0.0	1000.0	0			
ACYLCOA_3	Decanoyl-CoA to AcylCoA	C05274 --> C00040					False	0.0	1000.0	0			
ACYLCOA_4	Lauroyl-CoA to AcylCoA	C01832 --> C00040					False	0.0	1000.0	0			
ACYLCOA_5	Tetradecanoyl-CoA to AcylCoA	C02593 --> C00040					False	0.0	1000.0	0			
ACYLCOA_6	Palmitoyl-CoA to AcylCoA	C00154 --> C00040					False	0.0	1000.0	0			
BIOMASS		0.7089 Bio_aa + 0.2027 Bio_aa_m + 0.0082 Bio_cof + 0.005 Bio_dna + 0.0123 Bio_lipids + 0.013 Bio_misc + 0.0198 Bio_rna + 0.0169 Bio_sat + 0.0132 Bio_unsat --> 0.16199 Bio_unscaled					False	0.0	1000.0	0	Modelling		
BIOMASS_SCALED		Bio_unscaled + 0.1 Bio_unscaled_w --> 					False	0.0	1000.0	1	Modelling		The wolbachia ratio can be set with with mtb_update attribute. Old coefficient was 6.17336
BIOMASS_W		0.4 Bio_aa_w + 0.01 Bio_cof_w + 0.1 Bio_dna_w + 0.24 Bio_lipids_w + 0.25 Bio_rna_w --> 0.16199 Bio_unscaled_w					False	0.0	1000.0	0	Modelling		
BIO_AA	Amino acids	0.066 C00025 + 0.049 C00037 + 0.06 C00041 + 0.063 C00047 + 0.054 C00049 + 0.056 C00062 + 0.041 C00064 + 0.082 C00065 + 0.025 C00073 + 0.011 C00078 + 0.044 C00079 + 0.032 C00082 + 0.022 C00097 + 0.093 C00123 + 0.024 C00135 + 0.042 C00148 + 0.053 C00152 + 0.057 C00183 + 0.056 C00188 + 0.069 C00407 --> Bio_aa_raw					False	0.0	1000.0	0	Biomass		
BIO_AA_ASSEMBLY	Includes the energy required to polymerize the amino acids	Bio_aa_raw + 2.35 C00001 + 0.35 C00002 + 2.0 C00044 --> Bio_aa + 0.35 C00008 + 2.35 C00009 + 2.0 C00035 + 2.35 C00080					False	0.0	1000.0	0	Biomass		
